65.1	560
79.3	650
80.85	686
66.35	550
42.86	370
53.2	435
81.18	675
68.47	536
43.14	383
67.54	590
64.39	515
68.24	525
145.27	980
116.81	910
66.16	610
43.83	310
66.16	610
81.92	599
86.13	810
65.77	610
62.75	528
125.61	950
49.52	450
54.79	490
53.01	459
55.09	485
48.2	320
56.17	480
68.21	550
68.28	473
92.23	720
107.23	860
66.16	610
85.29	700
85.13	660
79.26	600
105.64	860
55.24	650
85.98	680
115.76	900
75.1	548
53.01	486
45.15	390
41.39	330
50.65	439
67.04	510
65.87	518
44.97	305
64.05	480
43.48	320
57.9	430
65.01	548
80.00	634
50.48	450
79.84	600
43.3	350
80.1	639
44.19	365
45.18	398
44.97	317
93.81	685
125.61	880
41.39	360
76.81	550
44.97	325
118.75	926
41.34	400
64.59	498
55.27	530
66.2	600
90.7	728
43.9	330
